Name,Mandala,Hymn,Tag1,Tag2,Tag3,Doniger,MacDonell,Aurobindo
1_1,1,1,Agni,,,Pray to Agni,Agni,
1_2,1,2,Vayu,,,,,
1_3,1,3,Asvins,,,,,
1_4,1,4,Indra,,,,,Indra Giver of Light
1_5,1,5,Indra,,,,,
1_6,1,6,Indra,,,,,
1_7,1,7,Indra,,,,,
1_8,1,8,Indra,,,,,
1_9,1,9,Indra,,,,,
1_10,1,10,Indra,,,,,
1_11,1,11,Indra,,,,,
1_12,1,12,Agni,,,,,
1_13,1,13,Agni,,,,,
1_14,1,14,Visvedevas,,,,,
1_15,1,15,Rtu,,,,,
1_16,1,16,Indra,,,,,
1_17,1,17,Indra-Varuna,,,,,
1_18,1,18,Brahmanaspati,,,,,
1_19,1,19,Agni,Maruts,,,,
1_20,1,20,Rbhus,,,,,Ribhus Artisans of Immortality
1_21,1,21,Indra-Agni,,,,,
1_22,1,22,AsvinsandOthers,,,,,
1_23,1,23,Vayu,,,,,
1_24,1,24,Mitra-Varuna,,,,,
1_25,1,25,Mitra-Varuna,,,,,
1_26,1,26,Agni,,,Agani and Gods,,
1_27,1,27,Agni,,,,,
1_28,1,28,Indra,,,,,
1_29,1,29,Indra,,,,,
1_30,1,30,Indra,,,,,
1_31,1,31,Agni,,,,,
1_32,1,32,Indra,,,Killing of Vrtra,Indra,
1_33,1,33,Indra,,,,,
1_34,1,34,Asvins,,,,,
1_35,1,35,Savitar,,,Savitr at Night,,
1_36,1,36,Agni,,,,,
1_37,1,37,Maruts,,,,,
1_38,1,38,Maruts,,,,,
1_39,1,39,Maruts,,,,,
1_40,1,40,Brahmanaspati,,,,,
1_41,1,41,Mitra-Varuna, , ,,,
1_42,1,42,Pusan,,,Pusan on Road,Pusan,
1_43,1,43,Rudra,,,,,
1_44,1,44,Agni,,,,,
1_45,1,45,Agni,,,,,
1_46,1,46,Asvins,,,,,
1_47,1,47,Asvins,,,,,
1_48,1,48,Dawn,,,,,
1_49,1,49,Dawn,,,,,
1_50,1,50,Surya,,,The Sun,,
1_51,1,51,Indra,,,,,
1_52,1,52,Indra,,,,,
1_53,1,53,Indra,,,,,
1_54,1,54,Indra,,,,,
1_55,1,55,Indra,,,,,
1_56,1,56,Indra,,,,,
1_57,1,57,Indra,,,,,
1_58,1,58,Agni,,,,,
1_59,1,59,Agni,,,,,Vedic Fire
1_60,1,60,Agni,,,,,
1_61,1,61,Indra,,,,,
1_62,1,62,Indra,,,,,
1_63,1,63,Indra,,,,,
1_64,1,64,Maruts,,,,,
1_65,1,65,Agni,,,,,Parashar's Hymn to Flame
1_66,1,66,Agni,,,,,Parashar's Hymn to Flame
1_67,1,67,Agni,,,,,Parashar's Hymn to Flame
1_68,1,68,Agni,,,,,Parashar's Hymn to Flame
1_69,1,69,Agni,,,,,Parashar's Hymn to Flame
1_70,1,70,Agni,,,,,Parashar's Hymn to Flame
1_71,1,71,Agni,,,,,Parashar's Hymn to Flame
1_72,1,72,Agni,,,,,Parashar's Hymn to Flame
1_73,1,73,Agni,,,,,Parashar's Hymn to Flame
1_74,1,74,Agni,,,,,
1_75,1,75,Agni,,,,,
1_76,1,76,Agni,,,,,
1_77,1,77,Agni,,,,,Agni the Illumined Will
1_78,1,78,Agni,,,,,
1_79,1,79,Agni,,,,,
1_80,1,80,Indra,,,,,
1_81,1,81,Indra,,,,,
1_82,1,82,Indra,,,,,
1_83,1,83,Indra,,,,,
1_84,1,84,Indra,,,,,
1_85,1,85,Maruts,,,Maruts,,
1_86,1,86,Maruts,,,,,
1_87,1,87,Maruts,,,,,
1_88,1,88,Maruts,,,,,
1_89,1,89,Visvedevas,,,,,
1_90,1,90,Visvedevas,,,,,
1_91,1,91,Soma,,,,,
1_92,1,92,Dawn,,,Dawn and Asvins,Usas,
1_93,1,93,Agni,Soma,,,,
1_94,1,94,Agni,,,,,Vedic Fire
1_95,1,95,Agni,,,,,
1_96,1,96,Agni,,,,,
1_97,1,97,Agni,,,,,Vedic Fire
1_98,1,98,Agni,,,,,
1_99,1,99,Agni,,,,,
1_100,1,100,Indra,,,,,
1_101,1,101,Indra,,,,,
1_102,1,102,Indra,,,,,
1_103,1,103,Indra,,,,,
1_104,1,104,Indra,,,,,
1_105,1,105,Visvedevas,,,,,
1_106,1,106,Visvedevas,,,,,
1_107,1,107,Visvedevas,,,,,
1_108,1,108,Indra-Agni,,,,,
1_109,1,109,Indra-Agni,,,,,
1_110,1,110,Rbhus,,,,,
1_111,1,111,Rbhus,,,,,
1_112,1,112,Asvins,,,,,
1_113,1,113,Dawn,,,,Usas,
1_114,1,114,Rudra,,,Have Mercy Rudra,,
1_115,1,115,Surya,,,,Surya,
1_116,1,116,Asvins,,,Deeds of Asvins,,
1_117,1,117,Asvins,,,,,
1_118,1,118,Asvins,,,,,
1_119,1,119,Asvins,,,,,
1_120,1,120,Asvins,,,,,
1_121,1,121,Indra,,,,,
1_122,1,122,Visvedevas,,,,,
1_123,1,123,Dawn,,,,,
1_124,1,124,Dawn,,,,,
1_125,1,125,Svanaya,,,,,
1_126,1,126,Bhavayavya,,,,,
1_127,1,127,Agni,,,,,
1_128,1,128,Agni,,,,,
1_129,1,129,Indra,,,,,
1_130,1,130,Indra,,,,,
1_131,1,131,Indra,,,,,
1_132,1,132,Indra,,,,,
1_133,1,133,Indra,,,,,
1_134,1,134,Vayu,,,,,
1_135,1,135,Vayu,Indra,,,,
1_136,1,136,Mitra-Varuna,,,,,
1_137,1,137,Mitra-Varuna,,,,,
1_138,1,138,Pusan,,,,,
1_139,1,139,Visvedevas,,,,,
1_140,1,140,Agni,,,,,
1_141,1,141,Agni,,,,,
1_142,1,142,Apris,,,,,
1_143,1,143,Agni,,,,Agni,
1_144,1,144,Agni,,,,,
1_145,1,145,Agni,,,,,
1_146,1,146,Agni,,,,,
1_147,1,147,Agni,,,,,
1_148,1,148,Agni,,,,,
1_149,1,149,Agni,,,,,
1_150,1,150,Agni,,,,,
1_151,1,151,Mitra-Varuna,,,,,
1_152,1,152,Mitra-Varuna,,,,,
1_153,1,153,Mitra-Varuna,,,,,
1_154,1,154,Visnu,,,3 strides of Visnu,Visnu,Vishnu All pervading Godhead
1_155,1,155,Visnu,Indra,,,,
1_156,1,156,Visnu,,,,,
1_157,1,157,Asvins,,,,,
1_158,1,158,Asvins,,,,,
1_159,1,159,HeavenandEarth,,,,,
1_160,1,160,HeavenandEarth,,,Sky and Earth,,
1_161,1,161,Rbhus,,,,,
1_162,1,162,TheHorse,,,Sacrifice of Horse,,
1_163,1,163,TheHorse,,,Hymn to Horse,,
1_164,1,164,Visvedevas,,,Riddle of Sacrifice,,
1_165,1,165,Indra-Maruts, ,,"Indra, Maruts, Agastya",,
1_166,1,166,Maruts,,,,,
1_167,1,167,Indra-Maruts, ,,,,
1_168,1,168,Maruts,,,,,
1_169,1,169,Indra,,,,,
1_170,1,170,Indra-Maruts, ,,"Indra, Maruts, Agastya",,Indra and Agastya
1_171,1,171,Maruts,,,"Indra, Maruts, Agastya",,Indra and Thought Forces
1_172,1,172,Maruts,,,,,
1_173,1,173,Indra,,,,,
1_174,1,174,Indra,,,,,
1_175,1,175,Indra,,,,,
1_176,1,176,Indra,,,,,
1_177,1,177,Indra,,,,,
1_178,1,178,Indra,,,,,
